# CERN-PH-EP-2006-001, tab. 19
# observed 95% exclusion limits on sig/sigRef(e+ e- -> H1 H2)*BR(H1 -> tautau)*BR(H2 -> tautau) for sqrt(s) = 91-209 GeV
# mH1 <= mH2  &&  mH1 + mH2 < 206 GeV
# mH2[GeV] | mH1[GeV] | sig/sigRef*BR*BR_95%
110.0    95.0     1.0
115.0    5.0      0.055
115.0    10.0     0.050
115.0    15.0     0.060
115.0    20.0     0.065
115.0    25.0     0.064
115.0    30.0     0.069
115.0    35.0     0.074
115.0    40.0     0.083
115.0    45.0     0.089
115.0    50.0     0.105
115.0    55.0     0.14
115.0    60.0     0.20
115.0    65.0     0.27
115.0    70.0     0.36
115.0    75.0     0.79
115.0    80.0     1.0
115.0    85.0     1.0
115.0    90.0     1.0
120.0    5.0      0.067
120.0    10.0     0.060
120.0    15.0     0.071
120.0    20.0     0.075
120.0    25.0     0.077
120.0    30.0     0.083
120.0    35.0     0.085
120.0    40.0     0.093
120.0    45.0     0.12
120.0    50.0     0.145
120.0    55.0     0.19
120.0    60.0     0.28
120.0    65.0     0.49
120.0    70.0     0.83
120.0    75.0     1.0
120.0    80.0     1.0
120.0    85.0     1.0
125.0    5.0      0.075
125.0    10.0     0.071
125.0    15.0     0.086
125.0    20.0     0.084
125.0    25.0     0.089
125.0    30.0     0.097
125.0    35.0     0.109
125.0    40.0     0.12
125.0    45.0     0.17
125.0    50.0     0.198
125.0    55.0     0.26
125.0    60.0     0.53
125.0    65.0     0.65
125.0    70.0     1.0
125.0    75.0     1.0
125.0    80.0     1.0
130.0    5.0      0.085
130.0    10.0     0.088
130.0    15.0     0.10
130.0    20.0     0.10
130.0    25.0     0.11
130.0    30.0     0.13
130.0    35.0     0.14
130.0    40.0     0.16
130.0    45.0     0.20
130.0    50.0     0.317
130.0    55.0     0.46
130.0    60.0     0.85
130.0    65.0     1.0
130.0    70.0     1.0
130.0    75.0     1.0
135.0    5.0      0.11
135.0    10.0     0.11
135.0    15.0     0.13
135.0    20.0     0.15
135.0    25.0     0.16
135.0    30.0     0.16
135.0    35.0     0.19
135.0    40.0     0.23
135.0    45.0     0.31
135.0    50.0     0.436
135.0    55.0     0.89
135.0    60.0     1.0
135.0    65.0     1.0
135.0    70.0     1.0
140.0    5.0      0.14
140.0    10.0     0.13
140.0    15.0     0.18
140.0    20.0     0.19
140.0    25.0     0.21
140.0    30.0     0.23
140.0    35.0     0.26
140.0    40.0     0.30
140.0    45.0     0.50
140.0    50.0     1.0
140.0    55.0     1.0
140.0    60.0     1.0
140.0    65.0     1.0
145.0    5.0      0.18
145.0    10.0     0.18
145.0    15.0     0.25
145.0    20.0     0.26
145.0    25.0     0.28
145.0    30.0     0.33
145.0    35.0     0.42
145.0    40.0     0.59
145.0    45.0     1.0
145.0    50.0     1.0
145.0    55.0     1.0
145.0    60.0     1.0
150.0    5.0      0.25
150.0    10.0     0.26
150.0    15.0     0.35
150.0    20.0     0.37
150.0    25.0     0.42
150.0    30.0     0.51
150.0    35.0     0.69
150.0    40.0     1.0
150.0    45.0     1.0
150.0    50.0     1.0
150.0    55.0     1.0
