# CERN-PH-EP-2006-001, tab. 18
# observed 95% exclusion limits on sig/sigRef(e+ e- -> H1 H2)*BR(H1 -> bb)*BR(H2 -> bb) for sqrt(s) = 91-209 GeV
# mH1 <= mH2  &&  mH1 + mH2 < 206 GeV
# values for mH2 = 35 GeV added by interpolation
# values for {55,55}, {60,55}, {60,60} are added with a conservative approach
# mH2[GeV] | mH1[GeV] | sig/sigRef*BR*BR_95%
115.0    65.0     0.56
115.0    70.0     0.65
115.0    75.0     1.0
115.0    80.0     1.0
115.0    85.0     1.0
115.0    90.0     1.0
120.0    10.0     0.355
120.0    15.0     0.28
120.0    20.0     0.25
120.0    25.0     0.23
120.0    30.0     0.22
120.0    35.0     0.22
120.0    40.0     0.23
120.0    45.0     0.27
120.0    50.0     0.36
120.0    65.0     0.64
120.0    70.0     1.0
120.0    75.0     1.0
120.0    80.0     1.0
120.0    85.0     1.0
125.0    10.0     0.409
125.0    15.0     0.29
125.0    20.0     0.26
125.0    25.0     0.25
125.0    30.0     0.22
125.0    35.0     0.25
125.0    40.0     0.29
125.0    45.0     0.40
125.0    50.0     0.51
125.0    65.0     1.0
125.0    70.0     1.0
125.0    75.0     1.0
125.0    80.0     1.0
130.0    10.0     0.494
130.0    15.0     0.35
130.0    20.0     0.32
130.0    25.0     0.32
130.0    30.0     0.24
130.0    35.0     0.32
130.0    40.0     0.46
130.0    45.0     0.57
130.0    50.0     0.72
130.0    65.0     1.0
130.0    70.0     1.0
130.0    75.0     1.0
135.0    10.0     0.617
135.0    15.0     0.44
135.0    20.0     0.42
135.0    25.0     0.42
135.0    30.0     0.36
135.0    35.0     0.51
135.0    40.0     0.67
135.0    45.0     0.84
135.0    50.0     0.98
135.0    65.0     1.0
135.0    70.0     1.0
140.0    10.0     0.696
140.0    15.0     0.57
140.0    20.0     0.53
140.0    25.0     0.66
140.0    30.0     0.62
140.0    35.0     0.83
140.0    40.0     0.97
140.0    45.0     1.0
140.0    50.0     1.0
140.0    65.0     1.0
145.0    10.0     0.811
145.0    15.0     0.73
145.0    20.0     0.80
145.0    25.0     1.0
145.0    30.0     0.94
145.0    35.0     1.0
145.0    40.0     1.0
145.0    45.0     1.0
145.0    50.0     1.0
145.0    60.0     1.0
